AXIS_ID,CODE,ORIENTATION,ORDER,NAME,DESCRIPTION,TABLE_ID,IS_OPEN_AXIS
EBA_FINREP_EBA_F_00_01_FINREP_1,,X,,EBA_FINREP_EBA_F_00.01_FINREP_1,,,
EBA_FINREP_EBA_F_00_01_FINREP_2,,Y,,EBA_FINREP_EBA_F_00.01_FINREP_2,,,
EBA_FINREP_EBA_F_00_01_FINREP_3_0-Ind_1,,X,,EBA_FINREP_EBA_F_00.01_FINREP_3.0-Ind_1,,,
EBA_FINREP_EBA_F_00_01_FINREP_3_0-Ind_2,,Y,,EBA_FINREP_EBA_F_00.01_FINREP_3.0-Ind_2,,,
EBA_FINREP_EBA_F_01_01_FINREP_2016-A_1,,X,,EBA_FINREP_EBA_F_01.01_FINREP_2016-A_1,,,
EBA_FINREP_EBA_F_01_01_FINREP_2016-A_2,,Y,,EBA_FINREP_EBA_F_01.01_FINREP_2016-A_2,,,
EBA_FINREP_EBA_F_01_01_FINREP_2017-A_1,,X,,EBA_FINREP_EBA_F_01.01_FINREP_2017-A_1,,,
EBA_FINREP_EBA_F_01_01_FINREP_2017-A_2,,Y,,EBA_FINREP_EBA_F_01.01_FINREP_2017-A_2,,,
EBA_FINREP_EBA_F_01_01_FINREP_3_0-Ind_1,,X,,EBA_FINREP_EBA_F_01.01_FINREP_3.0-Ind_1,,,
EBA_FINREP_EBA_F_01_01_FINREP_3_0-Ind_2,,Y,,EBA_FINREP_EBA_F_01.01_FINREP_3.0-Ind_2,,,
EBA_FINREP_EBA_F_01_02_FINREP_2016-A_1,,X,,EBA_FINREP_EBA_F_01.02_FINREP_2016-A_1,,,
EBA_FINREP_EBA_F_01_02_FINREP_2016-A_2,,Y,,EBA_FINREP_EBA_F_01.02_FINREP_2016-A_2,,,
EBA_FINREP_EBA_F_01_02_FINREP_2017-A_1,,X,,EBA_FINREP_EBA_F_01.02_FINREP_2017-A_1,,,
EBA_FINREP_EBA_F_01_02_FINREP_2017-A_2,,Y,,EBA_FINREP_EBA_F_01.02_FINREP_2017-A_2,,,
EBA_FINREP_EBA_F_01_02_FINREP_3_0-Ind_1,,X,,EBA_FINREP_EBA_F_01.02_FINREP_3.0-Ind_1,,,
EBA_FINREP_EBA_F_01_02_FINREP_3_0-Ind_2,,Y,,EBA_FINREP_EBA_F_01.02_FINREP_3.0-Ind_2,,,
EBA_FINREP_EBA_F_01_03_FINREP_1,,X,,EBA_FINREP_EBA_F_01.03_FINREP_1,,,
EBA_FINREP_EBA_F_01_03_FINREP_2,,Y,,EBA_FINREP_EBA_F_01.03_FINREP_2,,,
EBA_FINREP_EBA_F_01_03_FINREP_2017-A_1,,X,,EBA_FINREP_EBA_F_01.03_FINREP_2017-A_1,,,
EBA_FINREP_EBA_F_01_03_FINREP_2017-A_2,,Y,,EBA_FINREP_EBA_F_01.03_FINREP_2017-A_2,,,
EBA_FINREP_EBA_F_01_03_FINREP_3_0-Ind_1,,X,,EBA_FINREP_EBA_F_01.03_FINREP_3.0-Ind_1,,,
EBA_FINREP_EBA_F_01_03_FINREP_3_0-Ind_2,,Y,,EBA_FINREP_EBA_F_01.03_FINREP_3.0-Ind_2,,,
EBA_FINREP_EBA_F_02_00_FINREP_2016-A_1,,X,,EBA_FINREP_EBA_F_02.00_FINREP_2016-A_1,,,
EBA_FINREP_EBA_F_02_00_FINREP_2016-A_2,,Y,,EBA_FINREP_EBA_F_02.00_FINREP_2016-A_2,,,
EBA_FINREP_EBA_F_02_00_FINREP_2017-A_1,,X,,EBA_FINREP_EBA_F_02.00_FINREP_2017-A_1,,,
EBA_FINREP_EBA_F_02_00_FINREP_2017-A_2,,Y,,EBA_FINREP_EBA_F_02.00_FINREP_2017-A_2,,,
EBA_FINREP_EBA_F_02_00_FINREP_2_9_1,,X,,EBA_FINREP_EBA_F_02.00_FINREP_2.9_1,,,
