MAINTENANCE_AGENCY_ID,CUBE_LINK_ID,CODE,NAME,DESCRIPTION,VALID_FROM,VALID_TO,VERSION,ORDER_RELEVANCE,PRIMARY_CUBE_ID,FOREIGN_CUBE_ID,CUBE_LINK_TYPE,JOIN_IDENTIFIER
,F_01_01_REF_FINREP_3_0:ENTTY_RL:Derivatives ETC,,EXCHNG_TRDBL_DRVTV_PSTN:Derivatives ETC:ENTTY_RL,EXCHNG_TRDBL_DRVTV_PSTN:TYP_INSTRMNT_310:Derivatives ETC:ENTTY_RL,,,,,ENTTY_RL,F_01_01_REF_FINREP_3_0,,Derivatives ETC
,F_01_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN:Derivatives ETC,,EXCHNG_TRDBL_DRVTV_PSTN:Derivatives ETC:EXCHNG_TRDBL_DRVTV_PSTN,EXCHNG_TRDBL_DRVTV_PSTN:TYP_INSTRMNT_310:Derivatives ETC:EXCHNG_TRDBL_DRVTV_PSTN,,,,,EXCHNG_TRDBL_DRVTV_PSTN,F_01_01_REF_FINREP_3_0,,Derivatives ETC
,F_01_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN_RL:Derivatives ETC,,EXCHNG_TRDBL_DRVTV_PSTN:Derivatives ETC:EXCHNG_TRDBL_DRVTV_PSTN_RL,EXCHNG_TRDBL_DRVTV_PSTN:TYP_INSTRMNT_310:Derivatives ETC:EXCHNG_TRDBL_DRVTV_PSTN_RL,,,,,EXCHNG_TRDBL_DRVTV_PSTN_RL,F_01_01_REF_FINREP_3_0,,Derivatives ETC
,F_01_01_REF_FINREP_3_0:INSTRMNT:Advances that are not loans,,INSTRMNT:Advances that are not loans:INSTRMNT,INSTRMNT:TYP_INSTRMNT_251:Advances that are not loans:INSTRMNT,,,,,INSTRMNT,F_01_01_REF_FINREP_3_0,,Advances that are not loans
,F_01_01_REF_FINREP_3_0:INSTRMNT:Credit card debt,,INSTRMNT:Credit card debt:INSTRMNT,INSTRMNT:TYP_INSTRMNT_251:Credit card debt:INSTRMNT,,,,,INSTRMNT,F_01_01_REF_FINREP_3_0,,Credit card debt
,F_01_01_REF_FINREP_3_0:INSTRMNT:Equity instruments instrument,,INSTRMNT:Equity instruments instrument:INSTRMNT,INSTRMNT:TYP_INSTRMNT_241:Equity instruments instrument:INSTRMNT,,,,,INSTRMNT,F_01_01_REF_FINREP_3_0,,Equity instruments instrument
,F_01_01_REF_FINREP_3_0:INSTRMNT:Finance leases,,INSTRMNT:Finance leases:INSTRMNT,INSTRMNT:TYP_INSTRMNT_251:Finance leases:INSTRMNT,,,,,INSTRMNT,F_01_01_REF_FINREP_3_0,,Finance leases
,F_01_01_REF_FINREP_3_0:INSTRMNT:On demand and short notice,,INSTRMNT:On demand and short notice:INSTRMNT,INSTRMNT:TYP_INSTRMNT_1000:On demand and short notice:INSTRMNT,,,,,INSTRMNT,F_01_01_REF_FINREP_3_0,,On demand and short notice
,F_01_01_REF_FINREP_3_0:INSTRMNT:Other loans,,INSTRMNT:Other loans:INSTRMNT,INSTRMNT:TYP_INSTRMNT_251:Other loans:INSTRMNT,,,,,INSTRMNT,F_01_01_REF_FINREP_3_0,,Other loans
,F_01_01_REF_FINREP_3_0:INSTRMNT:Reverse repurchase agreements,,INSTRMNT:Reverse repurchase agreements:INSTRMNT,INSTRMNT:TYP_INSTRMNT_251:Reverse repurchase agreements:INSTRMNT,,,,,INSTRMNT,F_01_01_REF_FINREP_3_0,,Reverse repurchase agreements
,F_01_01_REF_FINREP_3_0:INSTRMNT:Tangible assets,,INSTRMNT:Tangible assets:INSTRMNT,INSTRMNT:TYP_ACCNTNG_ITM_410:Tangible assets:INSTRMNT,,,,,INSTRMNT,F_01_01_REF_FINREP_3_0,,Tangible assets
,F_01_01_REF_FINREP_3_0:INSTRMNT:Trade receivables,,INSTRMNT:Trade receivables:INSTRMNT,INSTRMNT:TYP_INSTRMNT_251:Trade receivables:INSTRMNT,,,,,INSTRMNT,F_01_01_REF_FINREP_3_0,,Trade receivables
,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Advances that are not loans,,INSTRMNT:Advances that are not loans:INSTRMNT_ENTTY_RL_ASSGNMNT,INSTRMNT:TYP_INSTRMNT_251:Advances that are not loans:INSTRMNT_ENTTY_RL_ASSGNMNT,,,,,INSTRMNT_ENTTY_RL_ASSGNMNT,F_01_01_REF_FINREP_3_0,,Advances that are not loans
,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Credit card debt,,INSTRMNT:Credit card debt:INSTRMNT_ENTTY_RL_ASSGNMNT,INSTRMNT:TYP_INSTRMNT_251:Credit card debt:INSTRMNT_ENTTY_RL_ASSGNMNT,,,,,INSTRMNT_ENTTY_RL_ASSGNMNT,F_01_01_REF_FINREP_3_0,,Credit card debt
,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Equity instruments instrument,,INSTRMNT:Equity instruments instrument:INSTRMNT_ENTTY_RL_ASSGNMNT,INSTRMNT:TYP_INSTRMNT_241:Equity instruments instrument:INSTRMNT_ENTTY_RL_ASSGNMNT,,,,,INSTRMNT_ENTTY_RL_ASSGNMNT,F_01_01_REF_FINREP_3_0,,Equity instruments instrument
,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Finance leases,,INSTRMNT:Finance leases:INSTRMNT_ENTTY_RL_ASSGNMNT,INSTRMNT:TYP_INSTRMNT_251:Finance leases:INSTRMNT_ENTTY_RL_ASSGNMNT,,,,,INSTRMNT_ENTTY_RL_ASSGNMNT,F_01_01_REF_FINREP_3_0,,Finance leases
,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:On demand and short notice,,INSTRMNT:On demand and short notice:INSTRMNT_ENTTY_RL_ASSGNMNT,INSTRMNT:TYP_INSTRMNT_1000:On demand and short notice:INSTRMNT_ENTTY_RL_ASSGNMNT,,,,,INSTRMNT_ENTTY_RL_ASSGNMNT,F_01_01_REF_FINREP_3_0,,On demand and short notice
,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Other loans,,INSTRMNT:Other loans:INSTRMNT_ENTTY_RL_ASSGNMNT,INSTRMNT:TYP_INSTRMNT_251:Other loans:INSTRMNT_ENTTY_RL_ASSGNMNT,,,,,INSTRMNT_ENTTY_RL_ASSGNMNT,F_01_01_REF_FINREP_3_0,,Other loans
,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Reverse repurchase agreements,,INSTRMNT:Reverse repurchase agreements:INSTRMNT_ENTTY_RL_ASSGNMNT,INSTRMNT:TYP_INSTRMNT_251:Reverse repurchase agreements:INSTRMNT_ENTTY_RL_ASSGNMNT,,,,,INSTRMNT_ENTTY_RL_ASSGNMNT,F_01_01_REF_FINREP_3_0,,Reverse repurchase agreements
,F_01_01_REF_FINREP_3_0:INSTRMNT_ENTTY_RL_ASSGNMNT:Trade receivables,,INSTRMNT:Trade receivables:INSTRMNT_ENTTY_RL_ASSGNMNT,INSTRMNT:TYP_INSTRMNT_251:Trade receivables:INSTRMNT_ENTTY_RL_ASSGNMNT,,,,,INSTRMNT_ENTTY_RL_ASSGNMNT,F_01_01_REF_FINREP_3_0,,Trade receivables
,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Advances that are not loans,,INSTRMNT:Advances that are not loans:INSTRMNT_RL,INSTRMNT:TYP_INSTRMNT_251:Advances that are not loans:INSTRMNT_RL,,,,,INSTRMNT_RL,F_01_01_REF_FINREP_3_0,,Advances that are not loans
,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Credit card debt,,INSTRMNT:Credit card debt:INSTRMNT_RL,INSTRMNT:TYP_INSTRMNT_251:Credit card debt:INSTRMNT_RL,,,,,INSTRMNT_RL,F_01_01_REF_FINREP_3_0,,Credit card debt
,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Equity instruments instrument,,INSTRMNT:Equity instruments instrument:INSTRMNT_RL,INSTRMNT:TYP_INSTRMNT_241:Equity instruments instrument:INSTRMNT_RL,,,,,INSTRMNT_RL,F_01_01_REF_FINREP_3_0,,Equity instruments instrument
,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Finance leases,,INSTRMNT:Finance leases:INSTRMNT_RL,INSTRMNT:TYP_INSTRMNT_251:Finance leases:INSTRMNT_RL,,,,,INSTRMNT_RL,F_01_01_REF_FINREP_3_0,,Finance leases
,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:On demand and short notice,,INSTRMNT:On demand and short notice:INSTRMNT_RL,INSTRMNT:TYP_INSTRMNT_1000:On demand and short notice:INSTRMNT_RL,,,,,INSTRMNT_RL,F_01_01_REF_FINREP_3_0,,On demand and short notice
,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Other loans,,INSTRMNT:Other loans:INSTRMNT_RL,INSTRMNT:TYP_INSTRMNT_251:Other loans:INSTRMNT_RL,,,,,INSTRMNT_RL,F_01_01_REF_FINREP_3_0,,Other loans
,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Reverse repurchase agreements,,INSTRMNT:Reverse repurchase agreements:INSTRMNT_RL,INSTRMNT:TYP_INSTRMNT_251:Reverse repurchase agreements:INSTRMNT_RL,,,,,INSTRMNT_RL,F_01_01_REF_FINREP_3_0,,Reverse repurchase agreements
,F_01_01_REF_FINREP_3_0:INSTRMNT_RL:Trade receivables,,INSTRMNT:Trade receivables:INSTRMNT_RL,INSTRMNT:TYP_INSTRMNT_251:Trade receivables:INSTRMNT_RL,,,,,INSTRMNT_RL,F_01_01_REF_FINREP_3_0,,Trade receivables
,F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Debt securities,,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Debt securities:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:TYP_INSTRMNT_251:Debt securities:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,,,,,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,F_01_01_REF_FINREP_3_0,,Debt securities
,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Current tax assets,,NN_FNNCL_ASST:Current tax assets:NN_FNNCL_ASST,NN_FNNCL_ASST:TYP_ACCNTNG_ITM_440:Current tax assets:NN_FNNCL_ASST,,,,,NN_FNNCL_ASST,F_01_01_REF_FINREP_3_0,,Current tax assets
,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Deferred tax assets,,NN_FNNCL_ASST:Deferred tax assets:NN_FNNCL_ASST,NN_FNNCL_ASST:TYP_ACCNTNG_ITM_450:Deferred tax assets:NN_FNNCL_ASST,,,,,NN_FNNCL_ASST,F_01_01_REF_FINREP_3_0,,Deferred tax assets
,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Intangible assets,,NN_FNNCL_ASST:Intangible assets:NN_FNNCL_ASST,NN_FNNCL_ASST:TYP_ACCNTNG_ITM_431:Intangible assets:NN_FNNCL_ASST,,,,,NN_FNNCL_ASST,F_01_01_REF_FINREP_3_0,,Intangible assets
,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Intangible assets Goodwill,,NN_FNNCL_ASST:Intangible assets Goodwill:NN_FNNCL_ASST,NN_FNNCL_ASST:TYP_ACCNTNG_ITM_420:Intangible assets Goodwill:NN_FNNCL_ASST,,,,,NN_FNNCL_ASST,F_01_01_REF_FINREP_3_0,,Intangible assets Goodwill
,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Intangible assets other than Goodwill,,NN_FNNCL_ASST:Intangible assets other than Goodwill:NN_FNNCL_ASST,NN_FNNCL_ASST:TYP_ACCNTNG_ITM_430:Intangible assets other than Goodwill:NN_FNNCL_ASST,,,,,NN_FNNCL_ASST,F_01_01_REF_FINREP_3_0,,Intangible assets other than Goodwill
,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Tangible assets,,NN_FNNCL_ASST:Tangible assets:NN_FNNCL_ASST,NN_FNNCL_ASST:TYP_ACCNTNG_ITM_410:Tangible assets:NN_FNNCL_ASST,,,,,NN_FNNCL_ASST,F_01_01_REF_FINREP_3_0,,Tangible assets
