TABLE_ID,NAME,CODE,DESCRIPTION,MAINTENANCE_AGENCY_ID,VERSION,VALID_FROM,VALID_TO
EBA_FINREP_EBA_F_00_01_FINREP,F 00.01,F_00.01,F 00.01 Nature of Report (FINREP),EBA,FINREP,,
EBA_FINREP_EBA_F_00_01_FINREP_3_0-Ind,F 00.01,F_00.01,F 00.01 Nature of Report (FINREP),EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_01_01_FINREP_2016-A,F 01.01,F_01.01,F 01.01 Balance Sheet Statement [Statement of Financial Position]: Assets,EBA,FINREP 2016-A,,
EBA_FINREP_EBA_F_01_01_FINREP_2017-A,F 01.01,F_01.01,F 01.01 Balance Sheet Statement [Statement of Financial Position]: Assets,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_01_01_FINREP_3_0-Ind,F 01.01,F_01.01,F 01.01 Balance Sheet Statement [Statement of Financial Position]: Assets,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_01_02_FINREP_2016-A,F 01.02,F_01.02,F 01.02 Balance Sheet Statement [Statement of Financial Position]: Liabilities,EBA,FINREP 2016-A,,
EBA_FINREP_EBA_F_01_02_FINREP_2017-A,F 01.02,F_01.02,F 01.02 Balance Sheet Statement [Statement of Financial Position]: Liabilities,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_01_02_FINREP_3_0-Ind,F 01.02,F_01.02,F 01.02 Balance Sheet Statement [Statement of Financial Position]: Liabilities,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_01_03_FINREP,F 01.03,F_01.03,F 01.03 Balance Sheet Statement [Statement of Financial Position]: Equity,EBA,FINREP,,
EBA_FINREP_EBA_F_01_03_FINREP_2017-A,F 01.03,F_01.03,F 01.03 Balance Sheet Statement [Statement of Financial Position]: Equity,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_01_03_FINREP_3_0-Ind,F 01.03,F_01.03,F 01.03 Balance Sheet Statement [Statement of Financial Position]: Equity,EBA,FINREP 3.0-Ind,,
